2022-01-02 01:23:40.315 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv2 |
2022-01-02 01:24:47.872 | INFO     | __main__:<module>:111 - | epoch : 0 | training done |
2022-01-02 01:25:01.350 | INFO     | __main__:<module>:240 - | epoch : 0 | CVC-300 : 0.8973927705367494 | CVC-ClinicDB : 0.9018805606293809 | CVC-ColonDB : 0.8066213166554531 | ETIS-LaribPolypDB : 0.775630055361257 | Kvasir : 0.9024746594006385 |
2022-01-02 01:25:01.351 | CRITICAL | __main__:<module>:241 - | epoch : 0 | best_val_dice_score : 0.8567998725166959 |
2022-01-02 01:25:41.609 | INFO     | __main__:<module>:111 - | epoch : 1 | training done |
2022-01-02 01:25:54.959 | INFO     | __main__:<module>:240 - | epoch : 1 | CVC-300 : 0.9031239109065645 | CVC-ClinicDB : 0.904707977929681 | CVC-ColonDB : 0.8422293960993953 | ETIS-LaribPolypDB : 0.8463103159422488 | Kvasir : 0.9160480814656871 |
2022-01-02 01:25:54.959 | CRITICAL | __main__:<module>:241 - | epoch : 1 | best_val_dice_score : 0.8824839364687154 |
2022-01-02 01:26:35.490 | INFO     | __main__:<module>:111 - | epoch : 2 | training done |
2022-01-02 01:26:49.126 | INFO     | __main__:<module>:244 - | epoch : 2 | val done |
2022-01-02 01:27:29.738 | INFO     | __main__:<module>:111 - | epoch : 3 | training done |
2022-01-02 01:27:43.309 | INFO     | __main__:<module>:240 - | epoch : 3 | CVC-300 : 0.9168401245760528 | CVC-ClinicDB : 0.9309207283172587 | CVC-ColonDB : 0.8623012598284565 | ETIS-LaribPolypDB : 0.848735075367542 | Kvasir : 0.9282091630478464 |
2022-01-02 01:27:43.309 | CRITICAL | __main__:<module>:241 - | epoch : 3 | best_val_dice_score : 0.8974012702274313 |
2022-01-02 01:28:23.834 | INFO     | __main__:<module>:111 - | epoch : 4 | training done |
2022-01-02 01:28:37.151 | INFO     | __main__:<module>:244 - | epoch : 4 | val done |
2022-01-02 01:29:17.248 | INFO     | __main__:<module>:111 - | epoch : 5 | training done |
2022-01-02 01:29:30.688 | INFO     | __main__:<module>:244 - | epoch : 5 | val done |
2022-01-02 01:30:10.756 | INFO     | __main__:<module>:111 - | epoch : 6 | training done |
2022-01-02 01:30:24.169 | INFO     | __main__:<module>:240 - | epoch : 6 | CVC-300 : 0.9229156282916618 | CVC-ClinicDB : 0.9642825813398567 | CVC-ColonDB : 0.8886025365562524 | ETIS-LaribPolypDB : 0.872667755730707 | Kvasir : 0.9377070803492464 |
2022-01-02 01:30:24.169 | CRITICAL | __main__:<module>:241 - | epoch : 6 | best_val_dice_score : 0.9172351164535449 |
2022-01-02 01:31:04.740 | INFO     | __main__:<module>:111 - | epoch : 7 | training done |
2022-01-02 01:31:18.269 | INFO     | __main__:<module>:244 - | epoch : 7 | val done |
2022-01-02 01:31:58.385 | INFO     | __main__:<module>:111 - | epoch : 8 | training done |
2022-01-02 01:32:11.851 | INFO     | __main__:<module>:240 - | epoch : 8 | CVC-300 : 0.9327841434630919 | CVC-ClinicDB : 0.9577799997260452 | CVC-ColonDB : 0.8890033378728331 | ETIS-LaribPolypDB : 0.8948889271090743 | Kvasir : 0.9365536603122263 |
2022-01-02 01:32:11.851 | CRITICAL | __main__:<module>:241 - | epoch : 8 | best_val_dice_score : 0.9222020136966542 |
2022-01-02 01:32:52.306 | INFO     | __main__:<module>:111 - | epoch : 9 | training done |
2022-01-02 01:33:05.622 | INFO     | __main__:<module>:244 - | epoch : 9 | val done |
2022-01-02 01:33:45.795 | INFO     | __main__:<module>:111 - | epoch : 10 | training done |
2022-01-02 01:33:59.325 | INFO     | __main__:<module>:244 - | epoch : 10 | val done |
2022-01-02 01:34:39.484 | INFO     | __main__:<module>:111 - | epoch : 11 | training done |
2022-01-02 01:34:52.991 | INFO     | __main__:<module>:244 - | epoch : 11 | val done |
2022-01-02 01:35:33.087 | INFO     | __main__:<module>:111 - | epoch : 12 | training done |
2022-01-02 01:35:46.501 | INFO     | __main__:<module>:244 - | epoch : 12 | val done |
2022-01-02 01:36:26.716 | INFO     | __main__:<module>:111 - | epoch : 13 | training done |
2022-01-02 01:36:40.234 | INFO     | __main__:<module>:244 - | epoch : 13 | val done |
2022-01-02 01:37:20.433 | INFO     | __main__:<module>:111 - | epoch : 14 | training done |
2022-01-02 01:37:34.062 | INFO     | __main__:<module>:240 - | epoch : 14 | CVC-300 : 0.9450408858569403 | CVC-ClinicDB : 0.9681194347866673 | CVC-ColonDB : 0.8840181657174907 | ETIS-LaribPolypDB : 0.8851400145832613 | Kvasir : 0.9363796811982752 |
2022-01-02 01:37:34.062 | CRITICAL | __main__:<module>:241 - | epoch : 14 | best_val_dice_score : 0.9237396364285269 |
2022-01-02 01:38:14.735 | INFO     | __main__:<module>:111 - | epoch : 15 | training done |
2022-01-02 01:38:28.434 | INFO     | __main__:<module>:244 - | epoch : 15 | val done |
2022-01-02 01:39:08.613 | INFO     | __main__:<module>:111 - | epoch : 16 | training done |
2022-01-02 01:39:22.542 | INFO     | __main__:<module>:244 - | epoch : 16 | val done |
2022-01-02 01:40:02.797 | INFO     | __main__:<module>:111 - | epoch : 17 | training done |
2022-01-02 01:40:16.576 | INFO     | __main__:<module>:244 - | epoch : 17 | val done |
2022-01-02 01:40:56.773 | INFO     | __main__:<module>:111 - | epoch : 18 | training done |
2022-01-02 01:41:10.652 | INFO     | __main__:<module>:244 - | epoch : 18 | val done |
2022-01-02 01:41:50.885 | INFO     | __main__:<module>:111 - | epoch : 19 | training done |
2022-01-02 01:42:04.859 | INFO     | __main__:<module>:244 - | epoch : 19 | val done |
2022-01-02 01:42:45.086 | INFO     | __main__:<module>:111 - | epoch : 20 | training done |
2022-01-02 01:42:59.041 | INFO     | __main__:<module>:244 - | epoch : 20 | val done |
2022-01-02 01:43:39.193 | INFO     | __main__:<module>:111 - | epoch : 21 | training done |
2022-01-02 01:43:52.985 | INFO     | __main__:<module>:244 - | epoch : 21 | val done |
